Model,Title,Rating(scaled to 5),Reveiw,Reviewer,Date,url
JEEP COMPASS,AMAZING CAR,5,reveiw   ,By Jin Media,"On: Apr 12, 2019 | 186 Views",www.cardekho.com
JEEP COMPASS,TRUE TO ITS JEEP HERITAGE,4,reveiw   ,By Nipun,"On: Apr 19, 2019 | 650 Views",www.cardekho.com
JEEP COMPASS,Awesome Car,4,reveiw   ,By Kanishk Kandoi,"On: Apr 17, 2019 | 40 Views",www.cardekho.com
JEEP COMPASS,Lead the way,5,reveiw   ,By Shivam,"On: Apr 16, 2019 | 41 Views",www.cardekho.com
JEEP COMPASS,Can't wait for you,5,reveiw   ,By Edws,"On: Apr 16, 2019 | 38 Views",www.cardekho.com
JEEP COMPASS,Best Premium SUV In India,5,reveiw   ,By Anand Kumar,"On: Apr 10, 2019 | 100 Views",www.cardekho.com
JEEP COMPASS,Best car,5,reveiw   ,By Mayank,"On: Apr 09, 2019 | 83 Views",www.cardekho.com
JEEP COMPASS,Jeep a brand,5,reveiw   ,By Gaurav Sharma,"On: May 09, 2019 | 64 Views",www.cardekho.com
JEEP COMPASS,Great specifications of car for all middle class families,5,reveiw   ,By Vijay,"On: May 05, 2019 | 180 Views",www.cardekho.com
JEEP COMPASS,Superior car,5,reveiw   ,By Ranjeet,"On: Apr 26, 2019 | 38 Views",www.cardekho.com
JEEP COMPASS,Review of Jeep Sport Bedrock Petrol- Average Performance,3,reveiw   ,By Saroj Kumar,"On: Apr 05, 2019 | 131 Views",www.cardekho.com
JEEP COMPASS,Best Features,3,reveiw   ,By User,"On: Apr 04, 2019 | 67 Views",www.cardekho.com
JEEP COMPASS,I love this car,5,reveiw   ,By Nilay Tandel,"On: Apr 04, 2019 | 50 Views",www.cardekho.com
JEEP COMPASS,Best and Favourite Car,5,reveiw   ,By Nivedit Solanki,"On: Apr 01, 2019 | 39 Views",www.cardekho.com
JEEP COMPASS,Great Car Performance,5,reveiw   ,By Anonymous,"On: Mar 31, 2019 | 45 Views",www.cardekho.com
JEEP COMPASS,The Perfect Combination Of Power With Luxury.,5,reveiw   ,By Rishabh Davas,"On: Mar 30, 2019 | 126 Views",www.cardekho.com
JEEP COMPASS,Fine SUV,5,reveiw   ,By Ahmed S,"On: Mar 29, 2019 | 66 Views",www.cardekho.com
JEEP COMPASS,no head,4,reveiw   ,By Aditya Balachandar,"On: Mar 28, 2019 | 85 Views",www.cardekho.com
JEEP COMPASS,Great SUV. Top Of The Line,4,reveiw   ,By Anonymous,"On: Mar 27, 2019 | 44 Views",www.cardekho.com
JEEP COMPASS,Good car,5,reveiw   ,By Kunal Pawale,"On: Mar 26, 2019 | 64 Views",www.cardekho.com
JEEP COMPASS,Compass - A Good Car,4,reveiw   ,By User,"On: Mar 25, 2019 | 61 Views",www.cardekho.com
JEEP COMPASS,Compass the Complete Compact SUV Car,5,reveiw   ,By Bhadresh,"On: Mar 24, 2019 | 44 Views",www.cardekho.com
JEEP COMPASS,Roar Of The Lion,5,reveiw   ,By Sunita Kanwar,"On: Mar 24, 2019 | 50 Views",www.cardekho.com
JEEP COMPASS,Jeep is My Next Kid.,5,reveiw   ,By Dheeraj Kumar,"On: Mar 24, 2019 | 41 Views",www.cardekho.com
JEEP COMPASS,Compass Feel It.,5,reveiw   ,By Shantanu Singh,"On: Mar 21, 2019 | 142 Views",www.cardekho.com
JEEP COMPASS,Best Car Ever.,5,reveiw   ,By Rishabh Jain,"On: Mar 20, 2019 | 93 Views",www.cardekho.com
JEEP COMPASS,Jeep Compass is The Best SUV.,5,reveiw   ,By Sam Mishra,"On: Mar 18, 2019 | 99 Views",www.cardekho.com
JEEP COMPASS,King of the road,5,reveiw   ,By Anonymous,"On: Mar 15, 2019 | 141 Views",www.cardekho.com
JEEP COMPASS,The Ultimate Off-Roading Machine,5,reveiw   ,By Vikram,"On: Mar 12, 2019 | 96 Views",www.cardekho.com
JEEP COMPASS,Go for Jeep Compass,5,reveiw   ,By Tanuj Vohra,"On: Mar 11, 2019 | 61 Views",www.cardekho.com
JEEP COMPASS,If you never drive you never know the beauty.,5,reveiw   ,By Sivakumar Natesan,"On: Mar 10, 2019 | 59 Views",www.cardekho.com
JEEP COMPASS,Superb car,5,reveiw   ,By Dr Lalit Goyal,"On: Mar 08, 2019 | 142 Views",www.cardekho.com
JEEP COMPASS,Awesome Jeep Compass,5,reveiw   ,By K Abhishek,"On: Mar 07, 2019 | 144 Views",www.cardekho.com
JEEP COMPASS,Jeep Compass Limited plus,5,reveiw   ,By Arshad Ahmed,"On: Mar 06, 2019 | 101 Views",www.cardekho.com
JEEP COMPASS,Brilliant and Worthy Car,4,reveiw   ,By Jaskirat Singh,"On: Mar 06, 2019 | 100 Views",www.cardekho.com
JEEP COMPASS,JEEP feels WoW,5,reveiw   ,By Rs Kashwal,"On: Mar 05, 2019 | 78 Views",www.cardekho.com
JEEP COMPASS,Unbelievable Jeep,5,reveiw   ,By Divyanshu,"On: Mar 04, 2019 | 74 Views",www.cardekho.com
JEEP COMPASS,Jeep Compass,5,reveiw   ,By Mohamed Asif,"On: Mar 03, 2019 | 53 Views",www.cardekho.com
JEEP COMPASS,Jeep Compass,5,reveiw   ,By S.jagadish Varma,"On: Mar 02, 2019 | 146 Views",www.cardekho.com
JEEP COMPASS,JEEP COMPASS,5,reveiw   ,By Shivansh Arora,"On: Mar 01, 2019 | 133 Views",www.cardekho.com
JEEP COMPASS,Jeep Compass,5,reveiw   ,By Sagar Shinde,"On: Feb 26, 2019 | 94 Views",www.cardekho.com
JEEP COMPASS,Jeep Compass,5,reveiw   ,By Akshay Chauhan,"On: Feb 24, 2019 | 52 Views",www.cardekho.com
JEEP COMPASS,Jeep Compass,5,reveiw   ,By Aadil Khan,"On: Feb 24, 2019 | 52 Views",www.cardekho.com
JEEP COMPASS,About Jeep Compass,4,reveiw   ,By Satvinder Singh,"On: Feb 24, 2019 | 159 Views",www.cardekho.com
JEEP COMPASS,Jeep Compass,5,reveiw   ,By Yogesh Vyas,"On: Feb 23, 2019 | 140 Views",www.cardekho.com
JEEP COMPASS,Jeep Compass,5,reveiw   ,By Jitesh,"On: Feb 23, 2019 | 59 Views",www.cardekho.com
JEEP COMPASS,Jeep Compass,5,reveiw   ,By Anubhav Mishra,"On: Feb 22, 2019 | 59 Views",www.cardekho.com
JEEP COMPASS,What a engine?,5,reveiw   ,By Aditya Bansal,"On: Feb 21, 2019 | 71 Views",www.cardekho.com
JEEP COMPASS,Jeep Compass,5,reveiw   ,By Chaitanya Vr,"On: Feb 23, 2019 | 68 Views",www.cardekho.com
JEEP COMPASS,Jeep Compass,4,reveiw   ,By Shreyansh,"On: Feb 22, 2019 | 102 Views",www.cardekho.com
JEEP COMPASS,Jeep Compass,4,reveiw   ,By Rameese Muhammed,"On: Feb 20, 2019 | 80 Views",www.cardekho.com
JEEP COMPASS,Jeep Compass,5,reveiw   ,By Mahfooj Ali,"On: Feb 20, 2019 | 48 Views",www.cardekho.com
JEEP COMPASS,Jeep Compass,5,reveiw   ,By Raghav Mundra,"On: Feb 20, 2019 | 50 Views",www.cardekho.com
JEEP COMPASS,Jeep Compass,5,reveiw   ,By Ravi Chaudhari,"On: Feb 20, 2019 | 41 Views",www.cardekho.com
JEEP COMPASS,Jeep Compass,5,reveiw   ,By Vivek,"On: Feb 19, 2019 | 178 Views",www.cardekho.com
JEEP COMPASS,Jeep Compass,5,reveiw   ,By Saleek Salee,"On: Feb 17, 2019 | 85 Views",www.cardekho.com
JEEP COMPASS,Fantastic car,4,reveiw   ,By Nisham,"On: Feb 17, 2019 | 80 Views",www.cardekho.com
JEEP COMPASS,JEEP COMPASS,4,reveiw   ,By Ram Sharma,"On: Feb 15, 2019 | 213 Views",www.cardekho.com
JEEP COMPASS,Jeep compass has excellent mileage,5,reveiw   ,By Manpreet Singh,"On: Feb 14, 2019 | 168 Views",www.cardekho.com
JEEP COMPASS,Jeep Compass is the best SUV,5,reveiw   ,By Priyam,"On: Feb 14, 2019 | 71 Views",www.cardekho.com
JEEP COMPASS,Best Driver's SUV in the Bracket,5,reveiw   ,By Chris,"On: Feb 02, 2019 | 101 Views",www.cardekho.com
JEEP COMPASS,Jeep Compass,1,reveiw   ,By Kamaljeet,"On: Feb 13, 2019 | 114 Views",www.cardekho.com
JEEP COMPASS,Jeep Compass,1,reveiw   ,By Kamaljeet,"On: Feb 13, 2019 | 59 Views",www.cardekho.com
JEEP COMPASS,The best in its segment!,5,reveiw   ,By Parikshith D,"On: Feb 12, 2019 | 82 Views",www.cardekho.com
JEEP COMPASS,Jeep Compass is the best,5,reveiw   ,By Achieve Raghuwanshi,"On: Feb 11, 2019 | 77 Views",www.cardekho.com
JEEP COMPASS,Jeep Compass,5,reveiw   ,By Nishant,"On: Feb 10, 2019 | 52 Views",www.cardekho.com
JEEP COMPASS,Love Jeep Compass,5,reveiw   ,By Vikas Singla,"On: Feb 08, 2019 | 136 Views",www.cardekho.com
JEEP COMPASS,It is a beast,5,reveiw   ,By Sarthak Bansal,"On: Feb 07, 2019 | 80 Views",www.cardekho.com
JEEP COMPASS,Shaft Problem,1,reveiw   ,By Nayan Bhagat,"On: Feb 03, 2019 | 561 Views",www.cardekho.com
JEEP COMPASS,Phenomenal car..!!,5,reveiw   ,By Arpit Singh,"On: Feb 01, 2019 | 106 Views",www.cardekho.com
JEEP COMPASS,The stylish jeep compass royal compass,5,reveiw   ,By Rizwan Baligar,"On: Jan 29, 2019 | 106 Views",www.cardekho.com
JEEP COMPASS,Branded car better to say its a golden star,5,reveiw   ,By Aribaskar,"On: Jan 26, 2019 | 51 Views",www.cardekho.com
JEEP COMPASS,About the car,5,reveiw   ,By Sumit Vasisth,"On: Feb 01, 2019 | 64 Views",www.cardekho.com
JEEP COMPASS,Be Cautious while you Buy JEEP !!,1,reveiw   ,By Arunprasath,"On: Jan 28, 2019 | 152 Views",www.cardekho.com
JEEP COMPASS,Best Suv of india,5,reveiw   ,By Sumit,"On: Jan 26, 2019 | 41 Views",www.cardekho.com
JEEP COMPASS,The king of the road,5,reveiw   ,By Yash Raj Jain,"On: Jan 24, 2019 | 364 Views",www.cardekho.com
JEEP COMPASS,It's like on roads,5,reveiw   ,By Sunny,"On: Jan 23, 2019 | 92 Views",www.cardekho.com
JEEP COMPASS,Bad quality of battery and rear seat.,1,reveiw   ,By Umesh Shetty,"On: Jan 22, 2019 | 76 Views",www.cardekho.com
JEEP COMPASS,Great experience,5,reveiw   ,By Aditya Karande,"On: Jan 17, 2019 | 42 Views",www.cardekho.com
JEEP COMPASS,Comfortable car,4,reveiw   ,By Darshan,"On: Jan 28, 2019 | 48 Views",www.cardekho.com
JEEP COMPASS,Petrol driking Mechine ( Avrage 5-6km/l),1,reveiw   ,By Johnson,"On: Jan 17, 2019 | 92 Views",www.cardekho.com
JEEP COMPASS,Limited plus,5,reveiw   ,By Diko,"On: Jan 17, 2019 | 45 Views",www.cardekho.com
JEEP COMPASS,Petrol drinking car- (5-6km/l),1,reveiw   ,By Johnson,"On: Jan 17, 2019 | 61 Views",www.cardekho.com
JEEP COMPASS,Finally Big toy in my house,5,reveiw   ,By Dr. Malkeet,"On: Jan 15, 2019 | 259 Views",www.cardekho.com
JEEP COMPASS,WOW WHAT A BEAUTY,5,reveiw   ,By Salim,"On: Jan 15, 2019 | 85 Views",www.cardekho.com
JEEP COMPASS,Don't buy jeep,1,reveiw   ,By Daleep,"On: Jan 11, 2019 | 175 Views",www.cardekho.com
JEEP COMPASS,Jeep features,4,reveiw   ,By Farren Darr,"On: Jan 08, 2019 | 83 Views",www.cardekho.com
JEEP COMPASS,Jeep is fabulous,5,reveiw   ,By Mamoon Anis,"On: Jan 06, 2019 | 40 Views",www.cardekho.com
JEEP COMPASS,Jeep compy,5,reveiw   ,By Harish Muthyala,"On: Jan 10, 2019 | 68 Views",www.cardekho.com
JEEP COMPASS,VALUE OF MONEY,5,reveiw   ,By Vishal Gupta,"On: Jan 09, 2019 | 66 Views",www.cardekho.com
JEEP COMPASS,Best in class !!,4,reveiw   ,By Pampana Rama Koti,"On: Dec 23, 2018 | 52 Views",www.cardekho.com
JEEP COMPASS,Best on Highways,5,reveiw   ,By Anshul,"On: Dec 29, 2018 | 77 Views",www.cardekho.com
JEEP COMPASS,Good look and strong suv,5,reveiw   ,By Alok,"On: Dec 21, 2018 | 55 Views",www.cardekho.com
JEEP COMPASS,"Awesome look, space and sunroof look batter then o",5,reveiw   ,By Nitin,"On: Jan 05, 2019 | 56 Views",www.cardekho.com
JEEP COMPASS,Jeep compass,5,reveiw   ,By Taniya Ahuja Bajwa,"On: Dec 31, 2018 | 93 Views",www.cardekho.com
JEEP COMPASS,What to say about Jeep. It is favolus,5,reveiw   ,By Abhishek,"On: Dec 23, 2018 | 108 Views",www.cardekho.com
