Model,Title,Rating(scaled to 5),Reveiw,Reviewer,Date,url
MG HECTOR,Safety and Features are Unbeatable,5,"It is a good car but as compared to the Harrier, it is not good but is better in features. Safety should be ensured by checking all updates to be done in the car because the safety should be more and should be 5 stars in the NCAP test by beating the Nexon so that it will be the safest car of 2020.",By Ramnarayan Padhy,"On: Dec 14, 2019 | 230 Views",www.cardekho.com
MG HECTOR,I Will Recommend Hector To All,5,"It is a great car with good new features. Spacious and well equipped, new locking system with smart airbags. After the first service from Chandigarh, it is much smooth",By Navdeep Singh,"On: Dec 14, 2019 | 34 Views",www.cardekho.com
MG HECTOR,Perfect ride for true car lovers.,5,"Good looks, high-performance level. Highly recommended! This new company in India is changing the game and introducing some fine machines with strong performance and at a reasonable price.",By Satyamm Bhardwaj,"On: Dec 16, 2019 | 396 Views",www.cardekho.com
MG HECTOR,The real beast.,5,"I could never imagine that the petrol Hybrid engine can churn this much power. The 1.5L engine gives an amazing power in the mid-range up to 2000RPM. It has 6 airbags, ABS, TC hill hold, etc. It's quite comfortable and the rear seating is very much comfortable. The infotainment system is of superb quality as it has a 10.4-inch huge touch screen.",By Siddharth Vasudeva,"On: Dec 17, 2019 | 161 Views",www.cardekho.com
MG HECTOR,The real beast.,5,"It's a powerful XUV with all comfort and ensuring driving and travel experience MG its an experience of a technological and powerful shift in XUV series. Also, luxurious interior and have a very torque powerful engine.",By Ahammed Fuhad,"On: Dec 17, 2019 | 77 Views",www.cardekho.com
MG HECTOR,Hector is the Best,5,Great car in the budget segment. Very comfortable for driver and for everyone inside. Futuristic design and features.,By Yogesh Patel,"On: Dec 16, 2019 | 58 Views",www.cardekho.com
MG HECTOR,Awesome experience of Hector,4,"MG Hector is a good and perfect sporty car. Really its a proud to be own this legend. Front of this car is really looking like cars in the UAE, Saudi Arabia, etc.",By Jagmender,"On: Dec 15, 2019 | 55 Views",www.cardekho.com
MG HECTOR,I Prefer It The Best,5,Very good vehicle but I look any more vehicles what is MG hectare is a good vehicle the interior nice space looking so nice and very good price Maruti Suzuki Baleno price MG hectare is a very good road trip vehicle this is not compared with you any more vehicle but I will be told very good vehicle nice looking.,By Mahesh Goud,"On: Dec 14, 2019 | 88 Views",www.cardekho.com
MG HECTOR,Comfortable to drive in village.,5,MG Hector is a best car with all the required features. It is very comfortable to drive in the village areas as well. Best family car.  ,By User,"On: Dec 15, 2019 | 52 Views",www.cardekho.com
MG HECTOR,Technology Car,4,Best features in this segment. Filled with technology. The best price range for the specifications they are providing. This car is something Out of the box in the Indian Market. As this car is the first impression of MG motors in the Indian market they have worked a lot on this. The sunroof which is there is usually in Jaguar or BMW.,By Prakhar Joshi,"On: Dec 14, 2019 | 359 Views",www.cardekho.com
MG HECTOR,MG Hector feature-loaded,5,"MG Hector is a superb vehicle and totally feature-loaded, value for money and some minor aroused exterior like small tire size for a big vehicle, and rear side would be over reflector presence.",By Albin Xavier,"On: Dec 13, 2019 | 1729 Views",www.cardekho.com
MG HECTOR,Gorgeous car of 2019.,5,That's the special car of the year. I experienced there is one of the luxurious low budget SUV I have seen.,By Faizan Sheikh,"On: Dec 11, 2019 | 51 Views",www.cardekho.com
MG HECTOR,The Beast Inside,5,Yesterday I drove this car from one of my friends. I think this is a very luxurious car nowadays with super-awesome features.,By Stunt Rider Vishnu,"On: Dec 14, 2019 | 32 Views",www.cardekho.com
MG HECTOR,Really a great car.,5,Great car with great interiors and equipped with the latest features.,By Rajbir Singh,"On: Dec 14, 2019 | 50 Views",www.cardekho.com
